Case ID,Activity,Resource,Start Timestamp,Complete Timestamp,Variant,Variant index,(case) creator,(case) variant,(case) variant-index,concept:name,lifecycle:transition,org:resource,type_task
81051,Start,Start,2016/02/01 13:23:52.000,2016/02/01 13:23:52.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
81051,Traer informacion estudiante - banner,8997,2016/02/01 13:23:52.000,2016/02/01 13:23:52.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,8997,AutoState
81051,Radicar Solicitud Homologacion,8997,2016/02/01 13:24:02.000,2016/02/01 13:24:02.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,8997,ManualState
81051,Validar solicitud,387,2016/02/01 13:27:47.000,2016/02/01 13:32:06.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,387,ManualState
81051,Homologacion por grupo de cursos,1007,2016/02/01 21:19:41.000,2016/02/01 21:38:15.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Homologacion por grupo de cursos,complete,1007,SubProcessMultiInstance
81051,End,End,2016/02/01 21:38:15.000,2016/02/01 21:38:15.000,Variant 2,2,Fluxicon Disco,Variant 2,2,End,complete,End,End
81102,Start,Start,2016/02/01 18:53:46.000,2016/02/01 18:53:46.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Start,complete,Start,Start
81102,Traer informacion estudiante - banner,6426,2016/02/01 18:53:46.000,2016/02/01 18:53:46.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Traer informacion estudiante - banner,complete,6426,AutoState
81102,Radicar Solicitud Homologacion,6426,2016/02/01 18:53:50.000,2016/02/01 19:09:56.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Radicar Solicitud Homologacion,complete,6426,ManualState
81102,Validar solicitud,22475,2016/02/03 19:47:36.000,2016/02/03 19:49:35.000,Variant 2,2,Fluxicon Disco,Variant 2,2,Validar solicitud,complete,22475,ManualState
