caseid,task,user,end_timestamp,start_timestamp,Activity,Resource,@@startevent_concept:name,@@startevent_org:resource,@@startevent_Activity,@@startevent_Resource,@@duration
Case1,Start,Start,2012-01-30 06:23:59.999999,2012-01-30 06:23:59.999999,,,,,,,
Case1,Turning & Milling,ID4932,2012-01-30 12:43:00.000000,2012-01-30 06:24:00.000000,Turning & Milling,ID4932,Turning & Milling,ID4932,Turning & Milling,ID4932,22740.0
Case1,Turning & Milling,ID4932,2012-01-30 13:42:00.000000,2012-01-30 12:44:00.000000,Turning & Milling,ID4932,Turning & Milling,ID4932,Turning & Milling,ID4932,3480.0
Case1,Turning & Milling,ID4167,2012-01-30 14:21:00.000000,2012-01-30 13:59:00.000000,Turning & Milling,ID4167,Turning & Milling,ID4167,Turning & Milling,ID4167,1320.0
Case1,Turning & Milling,ID4167,2012-01-30 17:58:00.000000,2012-01-30 14:21:00.000000,Turning & Milling,ID4167,Turning & Milling,ID4167,Turning & Milling,ID4167,13020.0
Case1,Turning & Milling Q.C.,ID4163,2012-01-31 21:50:00.000000,2012-01-31 20:20:00.000000,Turning & Milling Q.C.,ID4163,Turning & Milling Q.C.,ID4163,Turning & Milling Q.C.,ID4163,5400.0
Case1,Laser Marking,ID0998,2012-02-01 15:27:00.000000,2012-02-01 15:18:00.000000,Laser Marking,ID0998,Laser Marking,ID0998,Laser Marking,ID0998,540.0
Case1,Lapping,ID4882,2012-02-14 08:15:00.000000,2012-02-14 07:00:00.000000,Lapping,ID4882,Lapping,ID4882,Lapping,ID4882,4500.0
Case1,Lapping,ID4882,2012-02-14 16:38:00.000000,2012-02-14 16:05:00.000000,Lapping,ID4882,Lapping,ID4882,Lapping,ID4882,1980.0
Case1,Lapping,ID4882,2012-02-14 17:20:00.000000,2012-02-14 16:05:00.000000,Lapping,ID4882,Lapping,ID4882,Lapping,ID4882,4500.0
Case1,Round Grinding,ID4445,2012-02-14 20:37:00.000000,2012-02-14 16:13:00.000000,Round Grinding,ID4445,Round Grinding,ID4445,Round Grinding,ID4445,15840.0
Case1,Round Grinding,ID4445,2012-02-14 22:27:00.000000,2012-02-14 20:37:00.000000,Round Grinding,ID4445,Round Grinding,ID4445,Round Grinding,ID4445,6600.0
Case1,Final Inspection Q.C.,ID4493,2012-02-16 14:59:00.000000,2012-02-16 13:59:00.000000,Final Inspection Q.C.,ID4493,Final Inspection Q.C.,ID4493,Final Inspection Q.C.,ID4493,3600.0
Case1,Final Inspection Q.C.,ID4493,2012-02-16 20:58:00.000000,2012-02-16 19:11:00.000000,Final Inspection Q.C.,ID4493,Final Inspection Q.C.,ID4493,Final Inspection Q.C.,ID4493,6420.0
Case1,Final Inspection Q.C.,ID4493,2012-02-16 23:12:00.000000,2012-02-16 19:43:00.000000,Final Inspection Q.C.,ID4493,Final Inspection Q.C.,ID4493,Final Inspection Q.C.,ID4493,12540.0
Case1,Packing,ID4820,2012-02-17 08:00:00.000000,2012-02-17 07:00:00.000000,Packing,ID4820,Packing,ID4820,Packing,ID4820,3600.0
Case1,End,End,2012-02-17 08:00:00.000001,2012-02-17 08:00:00.000001,,,,,,,
Case10,Start,Start,2012-01-17 14:00:59.999999,2012-01-17 14:00:59.999999,,,,,,,
Case10,Turning & Milling,ID3846,2012-01-17 18:05:00.000000,2012-01-17 14:01:00.000000,Turning & Milling,ID3846,Turning & Milling,ID3846,Turning & Milling,ID3846,14640.0
Case10,Turning Q.C.,ID4618,2012-01-17 18:15:00.000000,2012-01-17 18:00:00.000000,Turning Q.C.,ID4618,Turning Q.C.,ID4618,Turning Q.C.,ID4618,900.0
Case10,Turning & Milling,ID4132,2012-01-18 03:01:00.000000,2012-01-18 02:24:00.000000,Turning & Milling,ID4132,Turning & Milling,ID4132,Turning & Milling,ID4132,2220.0
Case10,Turning & Milling,ID4132,2012-01-18 06:43:00.000000,2012-01-18 03:01:00.000000,Turning & Milling,ID4132,Turning & Milling,ID4132,Turning & Milling,ID4132,13320.0
Case10,Turning & Milling,ID4794,2012-01-18 13:32:00.000000,2012-01-18 06:49:00.000000,Turning & Milling,ID4794,Turning & Milling,ID4794,Turning & Milling,ID4794,24180.0
Case10,Turning & Milling,ID3846,2012-01-18 14:24:00.000000,2012-01-18 13:59:00.000000,Turning & Milling,ID3846,Turning & Milling,ID3846,Turning & Milling,ID3846,1500.0
Case10,Turning & Milling,ID4132,2012-01-19 00:55:00.000000,2012-01-18 23:33:00.000000,Turning & Milling,ID4132,Turning & Milling,ID4132,Turning & Milling,ID4132,4920.0
Case10,Turning & Milling,ID4132,2012-01-19 03:04:00.000000,2012-01-19 00:57:00.000000,Turning & Milling,ID4132,Turning & Milling,ID4132,Turning & Milling,ID4132,7620.0
Case10,Turning & Milling,ID4794,2012-01-19 13:29:00.000000,2012-01-19 03:10:00.000000,Turning & Milling,ID4794,Turning & Milling,ID4794,Turning & Milling,ID4794,37140.0
Case10,Turning & Milling,ID4132,2012-01-20 01:09:00.000000,2012-01-19 23:12:00.000000,Turning & Milling,ID4132,Turning & Milling,ID4132,Turning & Milling,ID4132,7020.0
Case10,Turning & Milling,ID4132,2012-01-20 03:08:00.000000,2012-01-20 01:10:00.000000,Turning & Milling,ID4132,Turning & Milling,ID4132,Turning & Milling,ID4132,7080.0
Case10,Turning & Milling,ID4794,2012-01-20 12:10:00.000000,2012-01-20 03:09:00.000000,Turning & Milling,ID4794,Turning & Milling,ID4794,Turning & Milling,ID4794,32460.0
Case10,Turning & Milling,ID4641,2012-01-22 13:34:00.000000,2012-01-22 09:42:00.000000,Turning & Milling,ID4641,Turning & Milling,ID4641,Turning & Milling,ID4641,13920.0
