case_id,resource,role,activity,FixedCost,ResourceCost,Start_Time,End_Time,AssignedTime
0,Clerk-000001,Clerk,Check application form completeness,0.0,0.08,2023-02-09T08:00:00.000,2023-02-09T08:05:04.420,2023-02-09T08:00:00.000
0,Clerk-000002,Clerk,Return application back to applicant,0.0,0.08,2023-02-09T08:05:04.420,2023-02-09T08:10:04.420,2023-02-09T08:05:04.420
1,Clerk-000003,Clerk,Check application form completeness,0.0,0.02,2023-02-09T08:30:00.000,2023-02-09T08:31:21.205,2023-02-09T08:30:00.000
1,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-09T08:31:21.205,2023-02-09T08:38:38.828,2023-02-09T08:31:21.205
1,Clerk-000004,Clerk,Check credit history,0.0,0.27,2023-02-09T08:31:21.205,2023-02-09T08:47:39.225,2023-02-09T08:31:21.205
1,Appraiser-000001,Appraiser,Appraise property,0.0,0.0,2023-02-09T08:31:21.205,2023-02-09T08:51:23.899,2023-02-09T08:31:21.205
2,Clerk-000005,Clerk,Check application form completeness,0.0,0.1,2023-02-09T09:00:00.000,2023-02-09T09:06:01.923,2023-02-09T09:00:00.000
0,Applicant-000001,Applicant,Applicant completes form,0.0,0.0,2023-02-09T08:10:04.420,2023-02-09T09:10:04.420,2023-02-09T08:10:04.420
1,Loan Officer-000001,Loan Officer,Assess loan risk,0.0,0.0,2023-02-09T08:51:23.899,2023-02-09T09:11:23.899,2023-02-09T08:51:23.899
2,Appraiser-000002,Appraiser,Appraise property,0.0,0.0,2023-02-09T09:06:01.923,2023-02-09T09:14:20.081,2023-02-09T09:06:01.923
1,Loan Officer-000002,Loan Officer,Design loan offer,0.0,0.0,2023-02-09T09:11:23.899,2023-02-09T09:19:01.634,2023-02-09T09:11:23.899
1,Senior Officer-000001,Senior Officer,Approve loan offer,0.0,0.0,2023-02-09T09:19:01.634,2023-02-09T09:39:01.634,2023-02-09T09:19:01.634
3,Clerk-000008,Clerk,Check application form completeness,0.0,0.16,2023-02-09T09:30:00.000,2023-02-09T09:39:23.764,2023-02-09T09:30:00.000
0,Clerk-000007,Clerk,Check application form completeness,0.0,0.53,2023-02-09T09:10:04.420,2023-02-09T09:41:38.460,2023-02-09T09:10:04.420
3,AML Investigator-000001,AML Investigator,AML check,0.0,0.0,2023-02-09T09:39:23.764,2023-02-09T09:44:03.425,2023-02-09T09:39:23.764
